Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Population,AQI value country,AQI category (country)
Russian Federation,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,145805947,42.49115756,Good
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,214326223,44.64993726,Good
Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,60367477,61.69844358,Moderate
Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,38268000,52.46015424,Moderate
France,Punaauia,22,Good,0,Good,22,Good,0,Good,6,Good,67842000,53.23133415,Moderate
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,332915073,59.61860625,Moderate
Germany,Puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,Moderate,83237000,48.24684015,Good
Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,11736000,44.58098592,Good
Russian Federation,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate,145805947,42.49115756,Good
Egypt,Qalyub,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups,106156000,101.65,Unhealthy for Sensitive Groups
China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,1412600000,127.1339174,Unhealthy for Sensitive Groups
Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,17442000,38.15282392,Good
India,Radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy,1417173173,152.5597283,Unhealthy
Pakistan,Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy,240485658,178.7045455,Unhealthy
Republic of North Macedonia,Radovis,83,Moderate,1,Good,46,Good,0,Good,83,Moderate,2067000,66.7826087,Moderate
France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,67842000,53.23133415,Moderate
